Date;2022-11-18;;#;N_mob;Amp;;#;P_mob;Amp
Time;13:56:10;;1;3,36598;0;;1;2,63325;-19
Device name;KE2-0-086-2018;;2;3,36038;0;;2;2,62997;-23
negMobCoeff;50,4896430969;;3;3,35479;0;;3;2,62669;-22
posMobCoeff;52,6650772095;;4;3,34923;1;;4;2,62342;-26
;;;5;3,34368;3;;5;2,62015;-26
;;;6;3,33816;4;;6;2,61690;-26
;;;7;3,33265;3;;7;2,61365;-26
;;;8;3,32716;4;;8;2,61041;-23
;;;9;3,32169;2;;9;2,60718;-27
;;;10;3,31623;1;;10;2,60396;-24
;;;11;3,31080;0;;11;2,60074;-23
;;;12;3,30538;0;;12;2,59754;-20
;;;13;3,29998;0;;13;2,59434;-19
;;;14;3,29459;-2;;14;2,59115;-18
;;;15;3,28923;-2;;15;2,58796;-19
;;;16;3,28388;-3;;16;2,58479;-12
;;;17;3,27855;-2;;17;2,58162;-15
;;;18;3,27323;-4;;18;2,57846;-13
;;;19;3,26794;-3;;19;2,57531;-19
;;;20;3,26266;0;;20;2,57216;-19
;;;21;3,25740;-1;;21;2,56903;-23
;;;22;3,25215;0;;22;2,56590;-24
;;;23;3,24692;0;;23;2,56278;-26
;;;24;3,24171;0;;24;2,55966;-23
;;;25;3,23652;1;;25;2,55656;-22
;;;26;3,23134;3;;26;2,55346;-18
;;;27;3,22618;4;;27;2,55037;-11
;;;28;3,22103;6;;28;2,54728;-4
;;;29;3,21590;6;;29;2,54421;0
;;;30;3,21079;7;;30;2,54114;18
;;;31;3,20569;5;;31;2,53808;42
;;;32;3,20061;6;;32;2,53502;70
;;;33;3,19555;2;;33;2,53197;116
;;;34;3,19050;3;;34;2,52894;163
;;;35;3,18547;0;;35;2,52590;231
;;;36;3,18045;1;;36;2,52288;310
;;;37;3,17545;1;;37;2,51986;397
;;;38;3,17046;0;;38;2,51685;508
;;;39;3,16549;1;;39;2,51385;637
;;;40;3,16054;4;;40;2,51085;776
;;;41;3,15560;3;;41;2,50786;927
;;;42;3,15068;3;;42;2,50488;1081
;;;43;3,14577;3;;43;2,50190;1245
;;;44;3,14088;2;;44;2,49894;1418
;;;45;3,13600;3;;45;2,49598;1589
;;;46;3,13114;1;;46;2,49302;1763
;;;47;3,12629;0;;47;2,49007;1934
;;;48;3,12146;0;;48;2,48713;2098
;;;49;3,11664;0;;49;2,48420;2250
;;;50;3,11184;0;;50;2,48128;2394
;;;51;3,10705;2;;51;2,47836;2519
;;;52;3,10228;2;;52;2,47544;2633
;;;53;3,09752;0;;53;2,47254;2722
;;;54;3,09278;2;;54;2,46964;2798
;;;55;3,08805;0;;55;2,46675;2846
;;;56;3,08334;5;;56;2,46386;2878
;;;57;3,07864;6;;57;2,46098;2892
;;;58;3,07395;6;;58;2,45811;2895
;;;59;3,06928;7;;59;2,45525;2874
;;;60;3,06462;8;;60;2,45239;2851
;;;61;3,05998;8;;61;2,44954;2806
;;;62;3,05535;6;;62;2,44669;2751
;;;63;3,05073;8;;63;2,44386;2690
;;;64;3,04613;7;;64;2,44102;2615
;;;65;3,04154;5;;65;2,43820;2533
;;;66;3,03697;3;;66;2,43538;2448
;;;67;3,03241;6;;67;2,43257;2356
;;;68;3,02786;6;;68;2,42976;2267
;;;69;3,02333;5;;69;2,42696;2177
;;;70;3,01881;4;;70;2,42417;2087
;;;71;3,01431;1;;71;2,42138;2002
;;;72;3,00981;0;;72;2,41860;1920
;;;73;3,00534;-1;;73;2,41583;1838
;;;74;3,00087;-2;;74;2,41306;1755
;;;75;2,99642;-3;;75;2,41030;1673
;;;76;2,99198;-3;;76;2,40755;1596
;;;77;2,98755;-2;;77;2,40480;1524
;;;78;2,98314;-2;;78;2,40206;1449
;;;79;2,97874;0;;79;2,39932;1374
;;;80;2,97435;0;;80;2,39659;1302
;;;81;2,96998;1;;81;2,39387;1231
;;;82;2,96562;2;;82;2,39115;1163
;;;83;2,96127;0;;83;2,38844;1098
;;;84;2,95693;3;;84;2,38573;1034
;;;85;2,95261;3;;85;2,38304;974
;;;86;2,94830;2;;86;2,38034;927
;;;87;2,94400;1;;87;2,37766;877
;;;88;2,93972;0;;88;2,37498;836
;;;89;2,93544;2;;89;2,37230;791
;;;90;2,93118;1;;90;2,36963;758
;;;91;2,92694;2;;91;2,36697;722
;;;92;2,92270;3;;92;2,36431;679
;;;93;2,91848;4;;93;2,36166;651
;;;94;2,91427;5;;94;2,35902;619
;;;95;2,91007;6;;95;2,35638;594
;;;96;2,90588;7;;96;2,35375;569
;;;97;2,90170;12;;97;2,35112;538
;;;98;2,89754;9;;98;2,34850;521
;;;99;2,89339;11;;99;2,34588;501
;;;100;2,88925;12;;100;2,34327;485
;;;101;2,88512;9;;101;2,34067;468
;;;102;2,88101;6;;102;2,33807;447
;;;103;2,87690;6;;103;2,33548;428
;;;104;2,87281;5;;104;2,33289;414
;;;105;2,86873;3;;105;2,33031;400
;;;106;2,86466;3;;106;2,32774;385
;;;107;2,86060;3;;107;2,32517;370
;;;108;2,85656;3;;108;2,32261;363
;;;109;2,85252;3;;109;2,32005;353
;;;110;2,84850;2;;110;2,31750;345
;;;111;2,84449;2;;111;2,31495;341
;;;112;2,84049;0;;112;2,31241;334
;;;113;2,83650;0;;113;2,30987;330
;;;114;2,83252;0;;114;2,30734;321
;;;115;2,82855;0;;115;2,30482;318
;;;116;2,82460;0;;116;2,30230;307
;;;117;2,82065;0;;117;2,29979;299
;;;118;2,81672;0;;118;2,29728;287
;;;119;2,81279;2;;119;2,29477;280
;;;120;2,80888;3;;120;2,29228;273
;;;121;2,80498;6;;121;2,28979;270
;;;122;2,80109;10;;122;2,28730;271
;;;123;2,79721;14;;123;2,28482;269
;;;124;2,79334;19;;124;2,28234;267
;;;125;2,78948;22;;125;2,27987;264
;;;126;2,78564;22;;126;2,27741;262
;;;127;2,78180;23;;127;2,27495;257
;;;128;2,77797;26;;128;2,27250;256
;;;129;2,77416;24;;129;2,27005;252
;;;130;2,77035;22;;130;2,26760;250
;;;131;2,76656;25;;131;2,26516;252
;;;132;2,76277;29;;132;2,26273;259
;;;133;2,75900;30;;133;2,26030;263
;;;134;2,75523;29;;134;2,25788;266
;;;135;2,75148;34;;135;2,25546;263
;;;136;2,74774;33;;136;2,25305;267
;;;137;2,74400;34;;137;2,25064;270
;;;138;2,74028;32;;138;2,24824;275
;;;139;2,73657;33;;139;2,24585;284
;;;140;2,73286;30;;140;2,24345;291
;;;141;2,72917;32;;141;2,24107;298
;;;142;2,72549;32;;142;2,23869;303
;;;143;2,72181;31;;143;2,23631;309
;;;144;2,71815;32;;144;2,23394;314
;;;145;2,71450;32;;145;2,23157;324
;;;146;2,71085;34;;146;2,22921;330
