Date;2022-11-18;;#;N_mob;Amp;;#;P_mob;Amp
Time;13:19:03;;1;3,35997;2;;1;2,62573;-23
Device name;KE2-0-086-2018;;2;3,35438;0;;2;2,62246;-23
negMobCoeff;50,3994865417;;3;3,34880;3;;3;2,61919;-21
posMobCoeff;52,5146827698;;4;3,34325;3;;4;2,61592;-27
;;;5;3,33771;4;;5;2,61267;-20
;;;6;3,33220;3;;6;2,60943;-24
;;;7;3,32670;2;;7;2,60619;-21
;;;8;3,32122;2;;8;2,60296;-21
;;;9;3,31576;3;;9;2,59974;-21
;;;10;3,31031;4;;10;2,59652;-23
;;;11;3,30488;4;;11;2,59332;-24
;;;12;3,29948;3;;12;2,59012;-27
;;;13;3,29408;5;;13;2,58693;-24
;;;14;3,28871;5;;14;2,58375;-25
;;;15;3,28335;4;;15;2,58057;-25
;;;16;3,27802;4;;16;2,57741;-21
;;;17;3,27269;5;;17;2,57425;-21
;;;18;3,26739;3;;18;2,57110;-18
;;;19;3,26210;3;;19;2,56796;-17
;;;20;3,25683;3;;20;2,56482;-13
;;;21;3,25158;3;;21;2,56169;-13
;;;22;3,24634;2;;22;2,55857;-14
;;;23;3,24112;0;;23;2,55546;-16
;;;24;3,23592;2;;24;2,55235;-10
;;;25;3,23074;0;;25;2,54926;-12
;;;26;3,22557;1;;26;2,54617;-8
;;;27;3,22041;1;;27;2,54308;-4
;;;28;3,21528;1;;28;2,54001;-1
;;;29;3,21016;1;;29;2,53694;12
;;;30;3,20505;0;;30;2,53388;23
;;;31;3,19997;2;;31;2,53083;46
;;;32;3,19490;5;;32;2,52778;77
;;;33;3,18984;6;;33;2,52474;109
;;;34;3,18480;5;;34;2,52171;155
;;;35;3,17978;4;;35;2,51869;208
;;;36;3,17477;3;;36;2,51567;267
;;;37;3,16978;3;;37;2,51266;337
;;;38;3,16480;1;;38;2,50966;413
;;;39;3,15984;0;;39;2,50667;507
;;;40;3,15490;2;;40;2,50368;612
;;;41;3,14997;1;;41;2,50070;723
;;;42;3,14505;3;;42;2,49773;843
;;;43;3,14015;4;;43;2,49476;976
;;;44;3,13527;3;;44;2,49180;1102
;;;45;3,13040;5;;45;2,48885;1224
;;;46;3,12555;6;;46;2,48590;1354
;;;47;3,12071;3;;47;2,48296;1473
;;;48;3,11589;3;;48;2,48003;1588
;;;49;3,11108;1;;49;2,47711;1698
;;;50;3,10629;0;;50;2,47419;1801
;;;51;3,10151;0;;51;2,47128;1887
;;;52;3,09674;0;;52;2,46838;1968
;;;53;3,09199;0;;53;2,46548;2037
;;;54;3,08726;0;;54;2,46259;2083
;;;55;3,08254;0;;55;2,45970;2122
;;;56;3,07783;0;;56;2,45683;2147
;;;57;3,07314;1;;57;2,45396;2160
;;;58;3,06846;0;;58;2,45109;2158
;;;59;3,06380;0;;59;2,44824;2143
;;;60;3,05915;0;;60;2,44539;2121
;;;61;3,05451;0;;61;2,44254;2089
;;;62;3,04989;-3;;62;2,43971;2047
;;;63;3,04529;-6;;63;2,43688;2007
;;;64;3,04069;-3;;64;2,43405;1962
;;;65;3,03611;-5;;65;2,43124;1911
;;;66;3,03155;-2;;66;2,42842;1858
;;;67;3,02700;0;;67;2,42562;1794
;;;68;3,02246;0;;68;2,42282;1731
;;;69;3,01793;0;;69;2,42003;1657
;;;70;3,01342;0;;70;2,41725;1586
;;;71;3,00892;1;;71;2,41447;1515
;;;72;3,00444;1;;72;2,41170;1445
;;;73;2,99997;4;;73;2,40893;1375
;;;74;2,99551;3;;74;2,40617;1312
;;;75;2,99107;3;;75;2,40342;1262
;;;76;2,98664;3;;76;2,40067;1199
;;;77;2,98222;3;;77;2,39793;1145
;;;78;2,97781;3;;78;2,39520;1088
;;;79;2,97342;5;;79;2,39247;1037
;;;80;2,96904;5;;80;2,38975;990
;;;81;2,96468;4;;81;2,38703;946
;;;82;2,96032;5;;82;2,38432;901
;;;83;2,95598;3;;83;2,38162;855
;;;84;2,95165;4;;84;2,37892;814
;;;85;2,94734;2;;85;2,37623;780
;;;86;2,94304;1;;86;2,37354;745
;;;87;2,93875;2;;87;2,37087;711
;;;88;2,93447;1;;88;2,36819;673
;;;89;2,93020;1;;89;2,36553;642
;;;90;2,92595;3;;90;2,36287;612
;;;91;2,92171;1;;91;2,36021;584
;;;92;2,91748;3;;92;2,35756;553
;;;93;2,91327;3;;93;2,35492;528
;;;94;2,90906;4;;94;2,35228;502
;;;95;2,90487;3;;95;2,34965;483
;;;96;2,90069;1;;96;2,34702;462
;;;97;2,89652;2;;97;2,34441;446
;;;98;2,89237;3;;98;2,34179;432
;;;99;2,88822;2;;99;2,33918;421
;;;100;2,88409;1;;100;2,33658;410
;;;101;2,87997;2;;101;2,33399;402
;;;102;2,87586;4;;102;2,33140;389
;;;103;2,87177;3;;103;2,32881;379
;;;104;2,86768;4;;104;2,32623;364
;;;105;2,86361;6;;105;2,32366;352
;;;106;2,85955;3;;106;2,32109;345
;;;107;2,85549;6;;107;2,31853;333
;;;108;2,85146;5;;108;2,31597;328
;;;109;2,84743;6;;109;2,31342;319
;;;110;2,84341;7;;110;2,31088;314
;;;111;2,83941;7;;111;2,30834;309
;;;112;2,83541;3;;112;2,30580;309
;;;113;2,83143;3;;113;2,30328;306
;;;114;2,82746;3;;114;2,30075;302
;;;115;2,82350;2;;115;2,29824;296
;;;116;2,81955;3;;116;2,29572;288
;;;117;2,81561;3;;117;2,29322;287
;;;118;2,81169;6;;118;2,29072;275
;;;119;2,80777;6;;119;2,28822;269
;;;120;2,80387;10;;120;2,28573;258
;;;121;2,79997;12;;121;2,28325;256
;;;122;2,79609;13;;122;2,28077;254
;;;123;2,79222;13;;123;2,27829;256
;;;124;2,78835;16;;124;2,27583;262
;;;125;2,78450;17;;125;2,27336;267
;;;126;2,78066;21;;126;2,27091;271
;;;127;2,77683;23;;127;2,26845;272
;;;128;2,77301;25;;128;2,26601;276
;;;129;2,76920;32;;129;2,26356;286
;;;130;2,76540;34;;130;2,26113;288
;;;131;2,76162;35;;131;2,25870;296
;;;132;2,75784;36;;132;2,25627;295
;;;133;2,75407;36;;133;2,25385;311
;;;134;2,75031;40;;134;2,25143;321
;;;135;2,74657;39;;135;2,24902;334
;;;136;2,74283;37;;136;2,24662;342
;;;137;2,73910;38;;137;2,24422;359
;;;138;2,73539;38;;138;2,24182;372
;;;139;2,73168;40;;139;2,23943;386
;;;140;2,72798;39;;140;2,23705;402
;;;141;2,72430;40;;141;2,23467;421
;;;142;2,72062;41;;142;2,23229;433
;;;143;2,71695;41;;143;2,22992;448
;;;144;2,71330;43;;144;2,22756;462
;;;145;2,70965;42;;145;2,22520;475
;;;146;2,70601;40;;146;2,22284;490
;;;147;2,70239;39;;147;2,22049;504
;;;148;2,69877;36;;148;2,21815;520
;;;149;2,69516;36;;149;2,21581;531
;;;150;2,69156;33;;150;2,21347;536
;;;151;2,68797;30;;151;2,21114;543
;;;152;2,68439;26;;152;2,20882;553
;;;153;2,68082;21;;153;2,20650;558
;;;154;2,67726;20;;154;2,20418;570
;;;155;2,67371;19;;155;2,20187;577
;;;156;2,67017;18;;156;2,19957;589
;;;157;2,66664;20;;157;2,19727;604
;;;158;2,66312;20;;158;2,19497;620
;;;159;2,65960;25;;159;2,19268;638
;;;160;2,65610;25;;160;2,19039;658
;;;161;2,65260;26;;161;2,18811;683
;;;162;2,64912;28;;162;2,18583;714
;;;163;2,64564;35;;163;2,18356;755
;;;164;2,64217;40;;164;2,18130;793
;;;165;2,63872;49;;165;2,17903;839
;;;166;2,63527;59;;166;2,17677;890
;;;167;2,63183;75;;167;2,17452;950
;;;168;2,62840;93;;168;2,17227;1016
;;;169;2,62497;114;;169;2,17003;1087
;;;170;2,62156;140;;170;2,16779;1164
;;;171;2,61816;170;;171;2,16555;1241
;;;172;2,61476;203;;172;2,16332;1327
