Date;2022-11-18;;#;N_mob;Amp;;#;P_mob;Amp
Time;13:19:03;;1;3,36312;4;;1;2,62670;-31
Device name;KE2-0-086-2018;;2;3,35753;5;;2;2,62342;-23
negMobCoeff;50,4468154907;;3;3,35195;5;;3;2,62015;-17
posMobCoeff;52,5339126587;;4;3,34639;6;;4;2,61688;-13
;;;5;3,34085;6;;5;2,61363;-13
;;;6;3,33533;5;;6;2,61038;-13
;;;7;3,32982;3;;7;2,60714;-13
;;;8;3,32434;0;;8;2,60391;-20
;;;9;3,31887;0;;9;2,60069;-21
;;;10;3,31342;0;;10;2,59747;-24
;;;11;3,30799;0;;11;2,59427;-23
;;;12;3,30257;0;;12;2,59107;-20
;;;13;3,29718;-1;;13;2,58788;-23
;;;14;3,29180;-1;;14;2,58469;-24
;;;15;3,28644;0;;15;2,58152;-19
;;;16;3,28109;-2;;16;2,57835;-16
;;;17;3,27577;0;;17;2,57519;-12
;;;18;3,27046;-1;;18;2,57204;-8
;;;19;3,26517;0;;19;2,56890;-1
;;;20;3,25989;0;;20;2,56576;2
;;;21;3,25463;-1;;21;2,56263;5
;;;22;3,24939;-1;;22;2,55951;15
;;;23;3,24417;-2;;23;2,55639;32
;;;24;3,23896;-3;;24;2,55329;50
;;;25;3,23377;-3;;25;2,55019;79
;;;26;3,22860;-2;;26;2,54710;111
;;;27;3,22344;0;;27;2,54402;159
;;;28;3,21830;0;;28;2,54094;221
;;;29;3,21317;4;;29;2,53787;302
;;;30;3,20806;3;;30;2,53481;389
;;;31;3,20297;5;;31;2,53175;508
;;;32;3,19790;5;;32;2,52871;641
;;;33;3,19284;4;;33;2,52567;800
;;;34;3,18779;5;;34;2,52264;990
;;;35;3,18276;3;;35;2,51961;1194
;;;36;3,17775;2;;36;2,51659;1419
;;;37;3,17276;5;;37;2,51358;1669
;;;38;3,16777;2;;38;2,51058;1928
;;;39;3,16281;0;;39;2,50759;2191
;;;40;3,15786;0;;40;2,50460;2462
;;;41;3,15293;-1;;41;2,50161;2732
;;;42;3,14801;-3;;42;2,49864;3000
;;;43;3,14310;-1;;43;2,49567;3261
;;;44;3,13822;-2;;44;2,49271;3505
;;;45;3,13334;0;;45;2,48976;3728
;;;46;3,12848;0;;46;2,48681;3938
;;;47;3,12364;0;;47;2,48387;4116
;;;48;3,11881;-1;;48;2,48094;4277
;;;49;3,11400;0;;49;2,47801;4416
;;;50;3,10920;-3;;50;2,47510;4531
;;;51;3,10442;-1;;51;2,47218;4615
;;;52;3,09965;0;;52;2,46928;4675
;;;53;3,09490;0;;53;2,46638;4717
;;;54;3,09016;-1;;54;2,46349;4729
;;;55;3,08543;0;;55;2,46060;4719
;;;56;3,08072;0;;56;2,45773;4696
;;;57;3,07603;0;;57;2,45486;4655
;;;58;3,07134;0;;58;2,45199;4597
;;;59;3,06668;0;;59;2,44913;4517
;;;60;3,06202;0;;60;2,44628;4436
;;;61;3,05738;0;;61;2,44344;4333
;;;62;3,05276;0;;62;2,44060;4230
;;;63;3,04815;0;;63;2,43777;4119
;;;64;3,04355;0;;64;2,43494;3998
