Date;2022-11-18;;#;N_mob;Amp;;#;P_mob;Amp
;;;65;3,03896;0;;65;2,43213;3876
;;;66;3,03439;2;;66;2,42931;3742
;;;67;3,02984;2;;67;2,42651;3617
;;;68;3,02530;3;;68;2,42371;3486
;;;69;3,02077;1;;69;2,42092;3354
;;;70;3,01625;3;;70;2,41813;3222
;;;71;3,01175;2;;71;2,41535;3098
;;;72;3,00726;2;;72;2,41258;2962
;;;73;3,00279;3;;73;2,40981;2841
;;;74;2,99832;5;;74;2,40705;2720
;;;75;2,99388;4;;75;2,40430;2602
;;;76;2,98944;3;;76;2,40155;2482
;;;77;2,98502;4;;77;2,39881;2370
;;;78;2,98061;2;;78;2,39607;2256
;;;79;2,97621;3;;79;2,39334;2149
;;;80;2,97183;4;;80;2,39062;2043
;;;81;2,96746;6;;81;2,38791;1940
;;;82;2,96310;3;;82;2,38519;1840
;;;83;2,95876;3;;83;2,38249;1749
;;;84;2,95443;2;;84;2,37979;1654
;;;85;2,95011;0;;85;2,37710;1573
;;;86;2,94580;1;;86;2,37441;1491
;;;87;2,94151;0;;87;2,37173;1413
;;;88;2,93722;0;;88;2,36906;1341
;;;89;2,93295;0;;89;2,36639;1270
;;;90;2,92870;0;;90;2,36373;1202
;;;91;2,92445;-1;;91;2,36107;1138
;;;92;2,92022;0;;92;2,35842;1080
;;;93;2,91600;-1;;93;2,35578;1020
;;;94;2,91179;0;;94;2,35314;965
;;;95;2,90760;0;;95;2,35051;917
;;;96;2,90341;0;;96;2,34788;870
;;;97;2,89924;0;;97;2,34526;834
;;;98;2,89508;0;;98;2,34265;800
;;;99;2,89093;1;;99;2,34004;769
;;;100;2,88680;0;;100;2,33744;742
;;;101;2,88268;1;;101;2,33484;718
;;;102;2,87856;2;;102;2,33225;696
;;;103;2,87446;4;;103;2,32966;674
;;;104;2,87037;6;;104;2,32708;650
;;;105;2,86630;10;;105;2,32451;633
;;;106;2,86223;13;;106;2,32194;615
;;;107;2,85818;12;;107;2,31938;593
;;;108;2,85413;15;;108;2,31682;583
;;;109;2,85010;13;;109;2,31427;575
;;;110;2,84608;10;;110;2,31172;565
;;;111;2,84207;9;;111;2,30918;558
;;;112;2,83808;9;;112;2,30665;558
;;;113;2,83409;7;;113;2,30412;556
;;;114;2,83012;10;;114;2,30160;560
;;;115;2,82615;9;;115;2,29908;553
;;;116;2,82220;9;;116;2,29656;549
;;;117;2,81826;7;;117;2,29406;545
;;;118;2,81433;9;;118;2,29156;542
;;;119;2,81041;9;;119;2,28906;542
;;;120;2,80650;10;;120;2,28657;538
;;;121;2,80260;9;;121;2,28408;546
;;;122;2,79871;13;;122;2,28160;553
;;;123;2,79484;16;;123;2,27913;569
;;;124;2,79097;18;;124;2,27666;589
;;;125;2,78712;17;;125;2,27420;611
;;;126;2,78327;23;;126;2,27174;646
;;;127;2,77944;20;;127;2,26928;687
;;;128;2,77562;25;;128;2,26684;738
;;;129;2,77180;28;;129;2,26439;811
;;;130;2,76800;33;;130;2,26196;882
;;;131;2,76421;34;;131;2,25952;977
;;;132;2,76043;40;;132;2,25710;1075
;;;133;2,75666;41;;133;2,25467;1193
;;;134;2,75290;45;;134;2,25226;1327
;;;135;2,74915;43;;135;2,24985;1477
;;;136;2,74540;41;;136;2,24744;1632
;;;137;2,74167;38;;137;2,24504;1793
;;;138;2,73795;36;;138;2,24264;1966
;;;139;2,73424;36;;139;2,24025;2143
;;;140;2,73054;34;;140;2,23787;2322
;;;141;2,72685;36;;141;2,23549;2495
;;;142;2,72317;34;;142;2,23311;2670
;;;143;2,71950;36;;143;2,23074;2834
;;;144;2,71584;37;;144;2,22837;2986
;;;145;2,71219;41;;145;2,22601;3140
;;;146;2,70855;42;;146;2,22366;3276
;;;147;2,70492;43;;147;2,22131;3405
;;;148;2,70130;41;;148;2,21896;3523
;;;149;2,69769;41;;149;2,21662;3626
;;;150;2,69409;40;;150;2,21429;3715
;;;151;2,69050;37;;151;2,21195;3792
;;;152;2,68691;38;;152;2,20963;3856
;;;153;2,68334;35;;153;2,20731;3898
;;;154;2,67978;31;;154;2,20499;3930
;;;155;2,67622;29;;155;2,20268;3945
;;;156;2,67268;27;;156;2,20037;3948
;;;157;2,66914;23;;157;2,19807;3948
;;;158;2,66562;26;;158;2,19577;3934
;;;159;2,66210;26;;159;2,19348;3905
;;;160;2,65859;30;;160;2,19120;3875
;;;161;2,65510;31;;161;2,18891;3832
;;;162;2,65161;36;;162;2,18664;3790
;;;163;2,64813;43;;163;2,18436;3735
;;;164;2,64466;53;;164;2,18209;3680
;;;165;2,64119;63;;165;2,17983;3618
;;;166;2,63774;80;;166;2,17757;3556
;;;167;2,63430;101;;167;2,17532;3492
;;;168;2,63086;125;;168;2,17307;3426
;;;169;2,62744;153;;169;2,17082;3364
;;;170;2,62402;183;;170;2,16858;3299
;;;171;2,62061;221;;171;2,16635;3232
;;;172;2,61721;261;;172;2,16412;3172
;;;173;2,61382;308;;173;2,16189;3113
;;;174;2,61044;354;;174;2,15967;3056
;;;175;2,60707;404;;175;2,15745;2999
;;;176;2,60371;457;;176;2,15524;2948
;;;177;2,60035;504;;177;2,15303;2897
;;;178;2,59700;545;;178;2,15083;2850
;;;179;2,59367;586;;179;2,14863;2806
;;;180;2,59034;618;;180;2,14643;2765
;;;181;2,58702;647;;181;2,14424;2724
;;;182;2,58370;673;;182;2,14206;2687
;;;183;2,58040;693;;183;2,13987;2648
;;;184;2,57710;704;;184;2,13770;2613
;;;185;2,57382;705;;185;2,13552;2581
;;;186;2,57054;704;;186;2,13336;2544
;;;187;2,56727;692;;187;2,13119;2508
;;;188;2,56401;679;;188;2,12903;2480
;;;189;2,56075;659;;189;2,12688;2448
;;;190;2,55751;637;;190;2,12473;2418
;;;191;2,55427;613;;191;2,12258;2393
;;;192;2,55104;586;;192;2,12044;2367
;;;193;2,54782;555;;193;2,11830;2350
;;;194;2,54461;523;;194;2,11617;2335
;;;195;2,54140;492;;195;2,11404;2323
;;;196;2,53820;460;;196;2,11192;2316
;;;197;2,53502;431;;197;2,10980;2319
;;;198;2,53184;402;;198;2,10768;2323
;;;199;2,52866;377;;199;2,10557;2344
;;;200;2,52550;352;;200;2,10346;2364
;;;201;2,52234;328;;201;2,10136;2399
;;;202;2,51919;308;;202;2,09926;2448
;;;203;2,51605;292;;203;2,09716;2499
;;;204;2,51292;287;;204;2,09507;2565
;;;205;2,50979;278;;205;2,09298;2635
;;;206;2,50667;282;;206;2,09090;2717
;;;207;2,50356;296;;207;2,08882;2808
;;;208;2,50046;321;;208;2,08675;2893
;;;209;2,49737;362;;209;2,08468;2990
;;;210;2,49428;423;;210;2,08261;3096
;;;211;2,49120;503;;211;2,08055;3203
;;;212;2,48813;605;;212;2,07849;3301
;;;213;2,48506;731;;213;2,07644;3402
;;;214;2,48201;886;;214;2,07439;3498
;;;215;2,47896;1071;;215;2,07234;3586
;;;216;2,47592;1279;;216;2,07030;3672
;;;217;2,47288;1512;;217;2,06826;3753
;;;218;2,46986;1769;;218;2,06623;3824
;;;219;2,46684;2049;;219;2,06420;3891
;;;220;2,46382;2344;;220;2,06218;3943
;;;221;2,46082;2651;;221;2,06015;3989
;;;222;2,45782;2967;;222;2,05814;4022
;;;223;2,45483;3289;;223;2,05612;4046
;;;224;2,45185;3612;;224;2,05411;4063
;;;225;2,44887;3932;;225;2,05211;4070
;;;226;2,44591;4243;;226;2,05010;4056
;;;227;2,44295;4542;;227;2,04811;4044
;;;228;2,43999;4831;;228;2,04611;4013
;;;229;2,43704;5100;;229;2,04412;3976
;;;230;2,43410;5352;;230;2,04213;3932
;;;231;2,43117;5583;;231;2,04015;3878
;;;232;2,42825;5792;;232;2,03817;3810
;;;233;2,42533;5980;;233;2,03620;3740
;;;234;2,42242;6148;;234;2,03423;3667
;;;235;2,41951;6297;;235;2,03226;3592
;;;236;2,41661;6419;;236;2,03030;3522
;;;237;2,41372;6521;;237;2,02834;3435
;;;238;2,41084;6600;;238;2,02638;3349
;;;239;2,40796;6660;;239;2,02443;3254
;;;240;2,40509;6697;;240;2,02248;3170
;;;241;2,40223;6717;;241;2,02054;3087
;;;242;2,39937;6720;;242;2,01859;2999
;;;243;2,39652;6704;;243;2,01666;2909
;;;244;2,39368;6671;;244;2,01472;2816
;;;245;2,39084;6622;;245;2,01279;2721
;;;246;2,38801;6554;;246;2,01087;2636
;;;247;2,38519;6474;;247;2,00895;2551
;;;248;2,38238;6378;;248;2,00703;2471
;;;249;2,37957;6274;;249;2,00511;2393
;;;250;2,37676;6151;;250;2,00320;2316
;;;251;2,37397;6016;;251;2,00129;2242
;;;252;2,37118;5874;;252;1,99939;2171
;;;253;2,36840;5714;;253;1,99749;2102
;;;254;2,36562;5547;;254;1,99559;2037
;;;255;2,36285;5372;;255;1,99370;1982
;;;256;2,36008;5188;;256;1,99181;1932
;;;257;2,35733;4990;;257;1,98992;1885
;;;258;2,35458;4786;;258;1,98804;1838
;;;259;2,35183;4579;;259;1,98616;1797
;;;260;2,34910;4371;;260;1,98428;1763
;;;261;2,34636;4158;;261;1,98241;1730
;;;262;2,34364;3941;;262;1,98054;1704
;;;263;2,34092;3728;;263;1,97868;1679
;;;264;2,33821;3518;;264;1,97682;1657
;;;265;2,33550;3310;;265;1,97496;1642
;;;266;2,33280;3109;;266;1,97310;1623
;;;267;2,33011;2917;;267;1,97125;1608
;;;268;2,32742;2736;;268;1,96941;1595
;;;269;2,32474;2564;;269;1,96756;1581
;;;270;2,32206;2406;;270;1,96572;1568
;;;271;2,31939;2267;;271;1,96388;1547
;;;272;2,31673;2146;;272;1,96205;1533
;;;273;2,31407;2042;;273;1,96022;1516
;;;274;2,31142;1955;;274;1,95839;1505
;;;275;2,30878;1889;;275;1,95657;1492
;;;276;2,30614;1844;;276;1,95475;1477
;;;277;2,30351;1821;;277;1,95293;1465
;;;278;2,30088;1821;;278;1,95112;1450
;;;279;2,29826;1838;;279;1,94931;1432
;;;280;2,29565;1874;;280;1,94750;1417
;;;281;2,29304;1927;;281;1,94570;1393
;;;282;2,29043;1998;;282;1,94390;1371
;;;283;2,28784;2082;;283;1,94210;1355
;;;284;2,28525;2179;;284;1,94031;1333
;;;285;2,28266;2284;;285;1,93852;1318
;;;286;2,28008;2401;;286;1,93673;1297
;;;287;2,27751;2521;;287;1,93495;1281
;;;288;2,27494;2646;;288;1,93317;1252
;;;289;2,27238;2773;;289;1,93139;1235
;;;290;2,26982;2899;;290;1,92962;1218
;;;291;2,26727;3025;;291;1,92785;1193
;;;292;2,26473;3145;;292;1,92608;1174
;;;293;2,26219;3259;;293;1,92432;1150
;;;294;2,25966;3363;;294;1,92256;1121
;;;295;2,25713;3458;;295;1,92080;1097
;;;296;2,25461;3544;;296;1,91905;1073
;;;297;2,25209;3620;;297;1,91730;1051
;;;298;2,24958;3681;;298;1,91555;1024
;;;299;2,24707;3724;;299;1,91380;1007
;;;300;2,24457;3751;;300;1,91206;983
;;;301;2,24208;3758;;301;1,91032;964
;;;302;2,23959;3746;;302;1,90859;943
;;;303;2,23711;3720;;303;1,90686;917
;;;304;2,23463;3676;;304;1,90513;898
;;;305;2,23216;3612;;305;1,90340;877
;;;306;2,22969;3531;;306;1,90168;862
;;;307;2,22723;3434;;307;1,89996;844
;;;308;2,22478;3318;;308;1,89824;832
;;;309;2,22233;3243;;309;1,89653;821
;;;310;2,21988;3136;;310;1,89482;803
;;;311;2,21744;3004;;311;1,89311;796
;;;312;2,21501;2841;;312;1,89141;793
;;;313;2,21258;2654;;313;1,88971;788
;;;314;2,21016;2441;;314;1,88801;788
;;;315;2,20774;2215;;315;1,88632;789
;;;316;2,20533;1976;;316;1,88462;801
;;;317;2,20292;1735;;317;1,88294;808
;;;318;2,20052;1489;;318;1,88125;823
;;;319;2,19812;1280;;319;1,87957;837
;;;320;2,19573;1091;;320;1,87789;858
;;;321;2,19334;926;;321;1,87621;885
;;;322;2,19096;782;;322;1,87454;914
;;;323;2,18858;662;;323;1,87287;954
;;;324;2,18621;560;;324;1,87120;999
;;;325;2,18384;472;;325;1,86953;1039
;;;326;2,18148;408;;326;1,86787;1088
;;;327;2,17913;360;;327;1,86621;1139
;;;328;2,17678;334;;328;1,86456;1190
;;;329;2,17443;316;;329;1,86290;1244
;;;330;2,17209;311;;330;1,86125;1299
;;;331;2,16976;318;;331;1,85961;1358
;;;332;2,16742;331;;332;1,85796;1415
;;;333;2,16510;352;;333;1,85632;1466
;;;334;2,16278;373;;334;1,85468;1513
;;;335;2,16046;399;;335;1,85305;1558
;;;336;2,15815;426;;336;1,85142;1595
;;;337;2,15585;451;;337;1,84979;1632
;;;338;2,15355;472;;338;1,84816;1654
;;;339;2,15125;493;;339;1,84653;1679
;;;340;2,14896;506;;340;1,84491;1689
;;;341;2,14667;515;;341;1,84330;1700
;;;342;2,14439;522;;342;1,84168;1704
;;;343;2,14212;521;;343;1,84007;1700
;;;344;2,13984;520;;344;1,83846;1693
;;;345;2,13758;510;;345;1,83685;1680
;;;346;2,13531;491;;346;1,83525;1661
;;;347;2,13306;469;;347;1,83364;1638
;;;348;2,13081;446;;348;1,83205;1610
;;;349;2,12856;417;;349;1,83045;1586
;;;350;2,12631;389;;350;1,82886;1558
;;;351;2,12408;357;;351;1,82727;1522
;;;352;2,12184;325;;352;1,82568;1491
;;;353;2,11961;296;;353;1,82409;1454
;;;354;2,11739;273;;354;1,82251;1421
;;;355;2,11517;249;;355;1,82093;1396
;;;356;2,11296;226;;356;1,81936;1359
;;;357;2,11075;211;;357;1,81778;1329
;;;358;2,10854;193;;358;1,81621;1299
;;;359;2,10634;181;;359;1,81464;1275
;;;360;2,10414;168;;360;1,81308;1255
;;;361;2,10195;160;;361;1,81151;1235
;;;362;2,09976;151;;362;1,80995;1216
;;;363;2,09758;147;;363;1,80840;1190
;;;364;2,09540;147;;364;1,80684;1178
;;;365;2,09323;152;;365;1,80529;1157
;;;366;2,09106;157;;366;1,80374;1148
;;;367;2,08890;164;;367;1,80219;1135
;;;368;2,08673;175;;368;1,80065;1127
;;;369;2,08458;184;;369;1,79911;1116
;;;370;2,08243;201;;370;1,79757;1105
;;;371;2,08028;220;;371;1,79603;1094
;;;372;2,07814;237;;372;1,79450;1079
;;;373;2,07600;249;;373;1,79297;1065
;;;374;2,07387;262;;374;1,79144;1045
;;;375;2,07174;279;;375;1,78991;1034
;;;376;2,06961;295;;376;1,78839;1020
;;;377;2,06749;315;;377;1,78687;1012
;;;378;2,06538;339;;378;1,78535;995
;;;379;2,06326;363;;379;1,78383;985
;;;380;2,06116;389;;380;1,78232;976
;;;381;2,05905;417;;381;1,78081;966
;;;382;2,05695;446;;382;1,77930;959
;;;383;2,05486;471;;383;1,77780;953
;;;384;2,05277;501;;384;1,77629;948
;;;385;2,05068;525;;385;1,77479;950
;;;386;2,04860;553;;386;1,77330;953
;;;387;2,04652;578;;387;1,77180;951
;;;388;2,04445;603;;388;1,77031;948
;;;389;2,04238;620;;389;1,76882;947
;;;390;2,04032;635;;390;1,76733;943
;;;391;2,03826;651;;391;1,76585;939
;;;392;2,03620;660;;392;1,76436;929
;;;393;2,03415;660;;393;1,76288;921
;;;394;2,03210;661;;394;1,76141;920
;;;395;2,03005;657;;395;1,75993;920
;;;396;2,02801;648;;396;1,75846;920
;;;397;2,02598;643;;397;1,75699;913
;;;398;2,02394;630;;398;1,75552;914
;;;399;2,02192;618;;399;1,75405;910
;;;400;2,01989;603;;400;1,75259;911
;;;401;2,01787;583;;401;1,75113;911
;;;402;2,01586;561;;402;1,74967;910
;;;403;2,01384;539;;403;1,74822;910
;;;404;2,01184;517;;404;1,74676;906
;;;405;2,00983;493;;405;1,74531;903
;;;406;2,00783;472;;406;1,74386;904
;;;407;2,00584;452;;407;1,74242;898
;;;408;2,00385;434;;408;1,74097;892
;;;409;2,00186;417;;409;1,73953;891
;;;410;1,99987;404;;410;1,73809;889
;;;411;1,99789;392;;411;1,73666;889
;;;412;1,99592;381;;412;1,73522;885
;;;413;1,99395;373;;413;1,73379;874
;;;414;1,99198;365;;414;1,73236;867
;;;415;1,99001;360;;415;1,73094;862
;;;416;1,98805;353;;416;1,72951;858
;;;417;1,98610;348;;417;1,72809;851
;;;418;1,98414;343;;418;1,72667;837
;;;419;1,98219;334;;419;1,72525;829
;;;420;1,98025;326;;420;1,72384;821
;;;421;1,97831;318;;421;1,72242;812
;;;422;1,97637;310;;422;1,72101;807
;;;423;1,97444;298;;423;1,71960;803
;;;424;1,97251;292;;424;1,71820;795
;;;425;1,97058;284;;425;1,71679;792
;;;426;1,96866;271;;426;1,71539;792
;;;427;1,96674;259;;427;1,71399;789
;;;428;1,96482;244;;428;1,71260;786
;;;429;1,96291;231;;429;1,71120;786
;;;430;1,96100;218;;430;1,70981;785
;;;431;1,95910;204;;431;1,70842;788
;;;432;1,95720;193;;432;1,70703;792
;;;433;1,95530;182;;433;1,70565;792
;;;434;1,95341;172;;434;1,70426;793
;;;435;1,95152;162;;435;1,70288;801
;;;436;1,94964;151;;436;1,70150;804
;;;437;1,94775;144;;437;1,70013;810
;;;438;1,94588;136;;438;1,69875;818
;;;439;1,94400;132;;439;1,69738;821
;;;440;1,94213;127;;440;1,69601;833
;;;441;1,94026;123;;441;1,69464;843
;;;442;1,93840;115;;442;1,69328;854
;;;443;1,93654;111;;443;1,69191;872
;;;444;1,93468;106;;444;1,69055;889
;;;445;1,93283;103;;445;1,68919;902
;;;446;1,93098;98;;446;1,68784;921
;;;447;1,92913;93;;447;1,68648;942
;;;448;1,92729;88;;448;1,68513;957
;;;449;1,92545;87;;449;1,68378;983
;;;450;1,92362;85;;450;1,68243;998
;;;451;1,92178;87;;451;1,68109;1018
;;;452;1,91995;87;;452;1,67974;1043
;;;453;1,91813;86;;453;1,67840;1057
;;;454;1,91631;88;;454;1,67706;1084
;;;455;1,91449;90;;455;1,67572;1102
;;;456;1,91268;90;;456;1,67439;1120
;;;457;1,91086;90;;457;1,67305;1139
;;;458;1,90906;89;;458;1,67172;1156
;;;459;1,90725;90;;459;1,67039;1169
;;;460;1,90545;93;;460;1,66907;1185
;;;461;1,90365;93;;461;1,66774;1189
;;;462;1,90186;90;;462;1,66642;1197
;;;463;1,90007;93;;463;1,66510;1202
;;;464;1,89828;93;;464;1,66378;1201
;;;465;1,89650;96;;465;1,66247;1198
;;;466;1,89472;97;;466;1,66115;1193
;;;467;1,89294;100;;467;1,65984;1189
;;;468;1,89116;103;;468;1,65853;1185
;;;469;1,88939;112;;469;1,65722;1174
;;;470;1,88763;114;;470;1,65592;1163
;;;471;1,88586;114;;471;1,65461;1149
;;;472;1,88410;110;;472;1,65331;1134
;;;473;1,88234;110;;473;1,65201;1115
;;;474;1,88059;108;;474;1,65071;1104
;;;475;1,87884;103;;475;1,64942;1082
;;;476;1,87709;100;;476;1,64812;1056
;;;477;1,87535;101;;477;1,64683;1035
;;;478;1,87361;96;;478;1,64554;1018
;;;479;1,87187;93;;479;1,64425;1001
;;;480;1,87013;93;;480;1,64297;983
;;;481;1,86840;91;;481;1,64168;965
;;;482;1,86667;92;;482;1,64040;950
;;;483;1,86495;89;;483;1,63912;932
;;;484;1,86322;87;;484;1,63785;917
;;;485;1,86151;85;;485;1,63657;899
;;;486;1,85979;85;;486;1,63530;887
;;;487;1,85808;83;;487;1,63403;873
;;;488;1,85637;83;;488;1,63276;861
;;;489;1,85466;81;;489;1,63149;845
;;;490;1,85296;83;;490;1,63022;832
;;;491;1,85126;84;;491;1,62896;821
;;;492;1,84956;87;;492;1,62770;808
;;;493;1,84787;87;;493;1,62644;793
;;;494;1,84618;86;;494;1,62518;788
;;;495;1,84449;83;;495;1,62392;778
;;;496;1,84281;83;;496;1,62267;773
;;;497;1,84112;78;;497;1,62142;769
;;;498;1,83945;73;;498;1,62017;762
;;;499;1,83777;69;;499;1,61892;758
;;;500;1,83610;67;;500;1,61767;753
;;;501;1,83443;66;;501;1,61643;747
;;;502;1,83276;63;;502;1,61519;745
;;;503;1,83110;63;;503;1,61395;745
;;;504;1,82944;63;;504;1,61271;747
;;;505;1,82778;64;;505;1,61147;749
;;;506;1,82613;64;;506;1,61023;752
;;;507;1,82448;67;;507;1,60900;755
;;;508;1,82283;69;;508;1,60777;749
;;;509;1,82118;67;;509;1,60654;755
;;;510;1,81954;68;;510;1,60531;753
;;;511;1,81790;73;;511;1,60409;756
;;;512;1,81627;73;;512;1,60287;755
;;;513;1,81463;77;;513;1,60164;755
;;;514;1,81300;80;;514;1,60042;751
;;;515;1,81138;82;;515;1,59921;751
;;;516;1,80975;84;;516;1,59799;752
;;;517;1,80813;90;;517;1,59678;749
;;;518;1,80651;93;;518;1,59556;752
;;;519;1,80490;100;;519;1,59435;745
;;;520;1,80328;107;;520;1,59314;745
;;;521;1,80167;115;;521;1,59194;745
;;;522;1,80006;125;;522;1,59073;744
;;;523;1,79846;134;;523;1,58953;740
;;;524;1,79686;138;;524;1,58833;736
;;;525;1,79526;146;;525;1,58713;729
;;;526;1,79366;152;;526;1,58593;723
;;;527;1,79207;163;;527;1,58473;718
;;;528;1,79048;169;;528;1,58354;712
;;;529;1,78889;174;;529;1,58235;708
;;;530;1,78731;181;;530;1,58116;703
;;;531;1,78573;186;;531;1,57997;692
;;;532;1,78415;189;;532;1,57878;683
;;;533;1,78257;189;;533;1,57759;678
;;;534;1,78100;191;;534;1,57641;679
;;;535;1,77943;191;;535;1,57523;671
;;;536;1,77786;193;;536;1,57405;666
;;;537;1,77630;191;;537;1,57287;656
;;;538;1,77473;185;;538;1,57170;648
;;;539;1,77317;182;;539;1,57052;644
;;;540;1,77162;178;;540;1,56935;639
;;;541;1,77006;174;;541;1,56818;631
;;;542;1,76851;165;;542;1,56701;624
;;;543;1,76696;161;;543;1,56584;622
;;;544;1,76542;156;;544;1,56467;617
;;;545;1,76387;150;;545;1,56351;616
;;;546;1,76233;142;;546;1,56235;611
;;;547;1,76080;137;;547;1,56119;605
;;;548;1,75926;127;;548;1,56003;601
;;;549;1,75773;120;;549;1,55887;606
;;;550;1,75620;115;;550;1,55771;604
;;;551;1,75467;112;;551;1,55656;602
;;;552;1,75315;103;;552;1,55541;606
;;;553;1,75163;97;;553;1,55426;609
;;;554;1,75011;90;;554;1,55311;611
;;;555;1,74859;86;;555;1,55196;613
;;;556;1,74708;77;;556;1,55082;613
;;;557;1,74556;73;;557;1,54967;613
;;;558;1,74406;71;;558;1,54853;617
;;;559;1,74255;68;;559;1,54739;620
;;;560;1,74105;67;;560;1,54625;622
;;;561;1,73955;63;;561;1,54512;626
;;;562;1,73805;60;;562;1,54398;623
;;;563;1,73655;59;;563;1,54285;630
;;;564;1,73506;57;;564;1,54171;638
;;;565;1,73357;53;;565;1,54058;648
;;;566;1,73208;50;;566;1,53946;653
;;;567;1,73059;49;;567;1,53833;664
;;;568;1,72911;50;;568;1,53720;681
;;;569;1,72763;47;;569;1,53608;686
;;;570;1,72615;50;;570;1,53496;697
;;;571;1,72468;49;;571;1,53384;704
;;;572;1,72320;48;;572;1,53272;714
;;;573;1,72173;44;;573;1,53160;725
;;;574;1,72027;42;;574;1,53049;733
;;;575;1,71880;41;;575;1,52937;737
;;;576;1,71734;40;;576;1,52826;744
;;;577;1,71588;38;;577;1,52715;751
;;;578;1,71442;36;;578;1,52604;751
;;;579;1,71296;33;;579;1,52493;745
;;;580;1,71151;34;;580;1,52383;745
;;;581;1,71006;35;;581;1,52272;734
;;;582;1,70861;36;;582;1,52162;727
;;;583;1,70717;37;;583;1,52052;716
;;;584;1,70572;36;;584;1,51942;705
;;;585;1,70428;39;;585;1,51832;696
;;;586;1,70285;39;;586;1,51722;682
;;;587;1,70141;39;;587;1,51613;672
;;;588;1,69998;36;;588;1,51504;652
;;;589;1,69855;38;;589;1,51395;645
;;;590;1,69712;37;;590;1,51286;630
;;;591;1,69569;37;;591;1,51177;622
;;;592;1,69427;39;;592;1,51068;612
;;;593;1,69285;37;;593;1,50960;594
;;;594;1,69143;37;;594;1,50851;579
;;;595;1,69001;38;;595;1,50743;569
;;;596;1,68860;37;;596;1,50635;563
;;;597;1,68718;40;;597;1,50527;552
;;;598;1,68577;40;;598;1,50419;541
;;;599;1,68437;39;;599;1,50312;534
;;;600;1,68296;36;;600;1,50204;524
;;;601;1,68156;34;;601;1,50097;510
;;;602;1,68016;34;;602;1,49990;499
;;;603;1,67876;36;;603;1,49883;480
;;;604;1,67737;31;;604;1,49776;468
;;;605;1,67597;29;;605;1,49669;460
;;;606;1,67458;31;;606;1,49563;449
;;;607;1,67319;28;;607;1,49456;442
;;;608;1,67181;29;;608;1,49350;431
;;;609;1,67042;33;;609;1,49244;420
;;;610;1,66904;35;;610;1,49138;416
