Date;18.11.2022;;#;N_mob;Amp;;#;P_mob;Amp
;;;1874;0,81546;-2;;1874;0,78567;-105
;;;1875;0,81513;0;;1875;0,78538;-105
;;;1876;0,81481;0;;1876;0,78509;-101
;;;1877;0,81448;-1;;1877;0,78479;-99
;;;1878;0,81415;-1;;1878;0,7845;-102
;;;1879;0,81382;0;;1879;0,78421;-99
;;;1880;0,81349;0;;1880;0,78391;-101
;;;1881;0,81316;2;;1881;0,78362;-103
;;;1882;0,81284;2;;1882;0,78333;-101
;;;1883;0,81251;4;;1883;0,78304;-98
;;;1884;0,81218;4;;1884;0,78275;-93
;;;1885;0,81185;1;;1885;0,78245;-91
;;;1886;0,81153;-1;;1886;0,78216;-92
;;;1887;0,8112;-4;;1887;0,78187;-89
;;;1888;0,81087;-6;;1888;0,78158;-88
;;;1889;0,81055;-4;;1889;0,78129;-88
;;;1890;0,81022;-6;;1890;0,781;-96
;;;1891;0,8099;-7;;1891;0,78071;-95
;;;1892;0,80957;-5;;1892;0,78042;-103
;;;1893;0,80925;-4;;1893;0,78013;-105
;;;1894;0,80892;0;;1894;0,77984;-108
;;;1895;0,8086;0;;1895;0,77955;-111
;;;1896;0,80827;0;;1896;0,77926;-111
;;;1897;0,80795;0;;1897;0,77897;-105
;;;1898;0,80763;0;;1898;0,77868;-102
;;;1899;0,8073;4;;1899;0,77839;-101
;;;1900;0,80698;3;;1900;0,77811;-103
;;;1901;0,80666;4;;1901;0,77782;-103
;;;1902;0,80634;7;;1902;0,77753;-111
;;;1903;0,80601;4;;1903;0,77724;-111
;;;1904;0,80569;3;;1904;0,77695;-111
;;;1905;0,80537;4;;1905;0,77667;-112
;;;1906;0,80505;1;;1906;0,77638;-109
;;;1907;0,80473;0;;1907;0,77609;-112
;;;1908;0,80441;0;;1908;0,77581;-112
;;;1909;0,80408;0;;1909;0,77552;-113
;;;1910;0,80376;-1;;1910;0,77523;-111
;;;1911;0,80344;-3;;1911;0,77495;-106
;;;1912;0,80312;-4;;1912;0,77466;-105
;;;1913;0,8028;-7;;1913;0,77438;-105
;;;1914;0,80248;-6;;1914;0,77409;-105
;;;1915;0,80217;-6;;1915;0,7738;-102
;;;1916;0,80185;-1;;1916;0,77352;-102
;;;1917;0,80153;-1;;1917;0,77323;-102
;;;1918;0,80121;0;;1918;0,77295;-103
;;;1919;0,80089;1;;1919;0,77267;-105
;;;1920;0,80057;4;;1920;0,77238;-102
;;;1921;0,80026;1;;1921;0,7721;-101
;;;1922;0,79994;2;;1922;0,77181;-106
;;;1923;0,79962;1;;1923;0,77153;-103
;;;1924;0,7993;0;;1924;0,77125;-99
;;;1925;0,79899;0;;1925;0,77096;-96
;;;1926;0,79867;0;;1926;0,77068;-92
;;;1927;0,79835;0;;1927;0,7704;-93
;;;1928;0,79804;0;;1928;0,77012;-92
;;;1929;0,79772;0;;1929;0,76983;-92
;;;1930;0,79741;0;;1930;0,76955;-91
;;;1931;0,79709;0;;1931;0,76927;-92
;;;1932;0,79678;0;;1932;0,76899;-95
;;;1933;0,79646;0;;1933;0,76871;-102
;;;1934;0,79615;-1;;1934;0,76843;-103
;;;1935;0,79583;0;;1935;0,76814;-109
;;;1936;0,79552;0;;1936;0,76786;-120
;;;1937;0,79521;-2;;1937;0,76758;-123
;;;1938;0,79489;0;;1938;0,7673;-130
;;;1939;0,79458;1;;1939;0,76702;-123
;;;1940;0,79427;0;;1940;0,76674;-123
;;;1941;0,79395;-1;;1941;0,76646;-120
;;;1942;0,79364;-2;;1942;0,76618;-119
;;;1943;0,79333;-3;;1943;0,7659;-115
;;;1944;0,79302;-2;;1944;0,76562;-111
;;;1945;0,79271;-2;;1945;0,76534;-112
;;;1946;0,79239;0;;1946;0,76507;-111
;;;1947;0,79208;-2;;1947;0,76479;-111
;;;1948;0,79177;0;;1948;0,76451;-111
;;;1949;0,79146;0;;1949;0,76423;-112
;;;1950;0,79115;0;;1950;0,76395;-106
;;;1951;0,79084;0;;1951;0,76367;-111
;;;1952;0,79053;-2;;1952;0,7634;-109
;;;1953;0,79022;0;;1953;0,76312;-111
;;;1954;0,78991;0;;1954;0,76284;-113
;;;1955;0,7896;0;;1955;0,76257;-112
;;;1956;0,78929;0;;1956;0,76229;-112
;;;1957;0,78898;0;;1957;0,76201;-109
;;;1958;0,78868;0;;1958;0,76174;-112
;;;1959;0,78837;0;;1959;0,76146;-113
;;;1960;0,78806;-3;;1960;0,76118;-118
;;;1961;0,78775;-4;;1961;0,76091;-119
;;;1962;0,78744;-1;;1962;0,76063;-119
;;;1963;0,78714;-2;;1963;0,76036;-119
;;;1964;0,78683;-3;;1964;0,76008;-115
;;;1965;0,78652;-3;;1965;0,75981;-111
;;;1966;0,78622;-3;;1966;0,75953;-112
;;;1967;0,78591;-1;;1967;0,75926;-115
;;;1968;0,7856;0;;1968;0,75898;-109
;;;1969;0,7853;0;;1969;0,75871;-111
;;;1970;0,78499;2;;1970;0,75843;-111
;;;1971;0,78469;1;;1971;0,75816;-109
;;;1972;0,78438;1;;1972;0,75789;-105
;;;1973;0,78408;0;;1973;0,75761;-106
;;;1974;0,78377;0;;1974;0,75734;-103
;;;1975;0,78347;0;;1975;0,75707;-102
;;;1976;0,78316;0;;1976;0,75679;-99
;;;1977;0,78286;0;;1977;0,75652;-96
;;;1978;0,78255;0;;1978;0,75625;-95
;;;1979;0,78225;0;;1979;0,75598;-93
;;;1980;0,78195;0;;1980;0,75571;-92
;;;1981;0,78164;1;;1981;0,75543;-95
;;;1982;0,78134;1;;1982;0,75516;-95
;;;1983;0,78104;4;;1983;0,75489;-96
;;;1984;0,78074;2;;1984;0,75462;-96
;;;1985;0,78043;2;;1985;0,75435;-98
;;;1986;0,78013;2;;1986;0,75408;-101
;;;1987;0,77983;1;;1987;0,75381;-106
;;;1988;0,77953;4;;1988;0,75354;-105
;;;1989;0,77923;1;;1989;0,75327;-109
;;;1990;0,77893;2;;1990;0,753;-108
;;;1991;0,77863;2;;1991;0,75273;-109
;;;1992;0,77833;3;;1992;0,75246;-115
;;;1993;0,77803;3;;1993;0,75219;-113
;;;1994;0,77773;1;;1994;0,75192;-115
;;;1995;0,77743;0;;1995;0,75165;-116
;;;1996;0,77713;0;;1996;0,75138;-120
;;;1997;0,77683;-3;;1997;0,75111;-115
;;;1998;0,77653;-5;;1998;0,75084;-118
;;;1999;0,77623;-6;;1999;0,75057;-115
;;;2000;0,77593;-4;;2000;0,75031;-109
